Tanggal|KODE EFEK|Nama Saham|HC MKBD|Keterangan
20260331|ARTA|ARTHAVEST Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ARTI|RATU PRABU ENERGI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ARTO|BANK JAGO Tbk|30|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASBI|ASURANSI BINTANG Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASDM|ASURANSI DAYIN MITRA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASGR|ASTRA GRAPHIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASII|ASTRA INTERNATIONAL Tbk|10|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASJT|ASURANSI JASA TANIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASMI|ASURANSI MAXIMUS GRAHA PERSADA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASPI|ANDALAN SAKTI PRIMAINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASRI|ALAM SUTERA REALTY Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASRM|ASURANSI RAMAYANA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ASSA|ADI SARANA ARMADA Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ATIC|ANABATIC TECHNOLOGIES Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AUTO|ASTRA OTOPARTS Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AYLS|AGRO YASA LESTARI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BABP|BANK MNC INTERNASIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BACA|BANK CAPITAL INDONESIA Tbk|40|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BAJA|SARANACENTRAL BAJATAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BALI|BALI TOWERINDO SENTRA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BAPA|BEKASI ASRI PEMULA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BAPI|BHAKTI AGUNG PROPERTINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BATA|SEPATU BATA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BAYU|BAYU BUANA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBCA|BANK CENTRAL ASIA Tbk|10|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBHI|ALLO BANK INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBKP|BANK KB BUKOPIN Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBLD|BUANA FINANCE Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBMD|BANK MESTIKA DHARMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBNI|BANK NEGARA INDONESIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBRI|BANK RAKYAT INDONESIA (PERSERO) Tbk|10|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBRM|PELAYARAN NASIONAL BINA BUANA RAYA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBSS|BUMI BENOWO SUKSES SEJAHTERA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBTN|BANK TABUNGAN NEGARA (PERSERO) Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BBYB|BANK NEO COMMERCE Tbk|50|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BCAP|MNC KAPITAL INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BCIC|BANK JTRUST INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BCIP|BUMI CITRA PERMAI Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BDMN|BANK DANAMON INDONESIA Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BEEF|ESTIKA TATA TIARA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BEKS|BANK PEMBANGUNAN DAERAH BANTEN Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BELL|TRISULA TEXTILE INDUSTRIES Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BESS|BATULICIN NUSANTARA MARITIM Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BEST|BEKASI FAJAR INDUSTRIAL ESTATE Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BFIN|BFI FINANCE INDONESIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BGTG|BANK GANESHA Tbk|50|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BHAT|BHAKTI MULTI ARTHA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BHIT|MNC ASIA HOLDING Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BIKA|BINAKARYA JAYA ABADI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BIMA|PRIMARINDO ASIA INFRASTRUCTURE Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BINA|BANK INA PERDANA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BIPI|ASTRINDO NUSANTARA INFRASTRUKTUR Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BIPP|BHUWANATALA INDAH PERMAI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BIRD|BLUE BIRD Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BISI|BISI INTERNATIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
